date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:02	1344/1344	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Jul%202024%2005:28:02%20GMT	https://www.lgessbattery.com/robots.txt		(from )
14:28:02	155265/155265	---MC-	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2005:28:02%20GMT	https://www.lgessbattery.com/m/au/recall/recallnotice.lg	C:/My%20Web%20Sites/123/www.lgessbattery.com/m/au/recall/recallnotice.html	(from )
14:28:02	110997/110997	---M--	200	added ('OK')	image/png	etag:%220-1b195-61d79c9d%22	https://www.lgessbattery.com/ess/resource/common/images/lgess_og.png	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/common/images/lgess_og.png	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:02	56247/56247	---M--	200	added ('OK')	image/gif	etag:%220-dbb7-5a8f65ec%22	https://www.lgessbattery.com/common/images/front/favicon.jpg	C:/My%20Web%20Sites/123/www.lgessbattery.com/common/images/front/favicon.gif	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:03	9103/9103	---M--	200	added ('OK')	text/css	etag:%220-238f-61275e62%22	https://www.lgessbattery.com/ess/resource/common/css/icomoon.css	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/common/css/icomoon.css	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:03	13373/13373	---M--	200	added ('OK')	text/css	etag:%220-343d-65eff536%22	https://www.lgessbattery.com/ess/resource/assets/css/jquery-ui.min.css	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/css/jquery-ui.min.css	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:03	19778/19778	---M--	200	added ('OK')	text/css	etag:%220-4d42-60b051e2%22	https://www.lgessbattery.com/ess/resource/common/css/swiper.min.css	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/common/css/swiper.min.css	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:03	42839/42839	---M--	200	added ('OK')	text/css	etag:%220-a757-60b051e2%22	https://www.lgessbattery.com/ess/resource/common/css/jquery.mCustomScrollbar.min.css	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/common/css/jquery.mCustomScrollbar.min.css	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:04	11904/11904	---M--	200	added ('OK')	text/css	etag:%220-2e80-6653e38a%22	https://www.lgessbattery.com/ess/resource/assets/css/common.css	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/css/common.css	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
14:28:04	94181/94181	---M--	200	added ('OK')	text/css	etag:%220-16fe5-66a098a8%22	https://www.lgessbattery.com/ess/resource/assets/css/recall.css	C:/My%20Web%20Sites/123/www.lgessbattery.com/ess/resource/assets/css/recall.css	(from https://www.lgessbattery.com/m/au/recall/recallnotice.lg)
